quant	setSize	vecMap	BSTMap	RBTMap	stdMap
insert-mean	1000	246	1579	64	28
search-mean	1000	249	1454	13	28
insert-sDev	1000	57	127	18	17
search-sDev	1000	65	175	4	17
insert-mean	2500	1384	10601	179	88
search-mean	2500	1419	10437	43	77
insert-sDev	2500	207	638	25	24
search-sDev	2500	273	614	10	17
insert-mean	5000	5328	42010	462	310
search-mean	5000	5274	41310	187	290
insert-sDev	5000	597	2986	21	36
search-sDev	5000	499	2998	16	11
insert-mean	7500	12921	95796	710	481
search-mean	7500	12541	93682	315	434
insert-sDev	7500	5115	7099	24	102
search-sDev	7500	1352	5835	5	16
insert-mean	10000	20417	156951	961	639
search-mean	10000	20436	155644	444	579
insert-sDev	10000	475	7350	33	52
search-sDev	10000	378	6836	11	10
insert-mean	25000	126767	1169426	2494	1678
search-mean	25000	127179	1137497	1210	1561
insert-sDev	25000	1382	80025	87	119
search-sDev	25000	2543	79505	28	19
insert-mean	50000	507366	8066440	5727	3689
search-mean	50000	510302	7908772	2760	3466
insert-sDev	50000	6997	487959	969	491
search-sDev	50000	12023	470296	462	349
