quant	setSize	vecMap	BSTMap	RBTMap	stdMap
insert-mean	1000	255	1515	102	23
search-mean	1000	267	1413	21	19
insert-sDev	1000	64	204	17	15
search-sDev	1000	74	124	6	7
insert-mean	5000	5911	28860	522	299
search-mean	5000	5820	29037	203	272
insert-sDev	5000	3028	1920	265	60
search-sDev	5000	1318	1739	37	5
insert-mean	10000	21961	72115	986	668
search-mean	10000	22561	73749	461	586
insert-sDev	10000	2608	8925	84	71
search-sDev	10000	3324	11424	18	16
insert-mean	20000	67825	154565	1753	1031
search-mean	20000	68229	159957	779	914
insert-sDev	20000	14801	5340	337	86
search-sDev	20000	18022	7629	114	120
insert-mean	30000	136661	274154	3194	2160
search-mean	30000	139077	282880	1529	1893
insert-sDev	30000	15301	23927	453	150
search-sDev	30000	18676	29531	124	80
insert-mean	40000	323594	488884	2931	2102
search-mean	40000	323961	498985	1477	1852
insert-sDev	40000	2147	63278	166	120
search-sDev	40000	2504	63704	55	62
insert-mean	50000	360427	501173	3647	2720
search-mean	50000	361037	517702	1850	2405
insert-sDev	50000	2421	24528	137	475
search-sDev	50000	1243	26712	72	25
