quant	setSize	vecMap	BSTMap	RBTMap	stdMap
insert-mean	1000	149	61	60	17
search-mean	1000	135	16	15	18
insert-sDev	1000	90	14	9	10
search-sDev	1000	24	5	6	7
insert-mean	2500	863	253	227	138
search-mean	2500	881	88	59	118
insert-sDev	2500	218	14	36	28
search-sDev	2500	243	16	19	26
insert-mean	5000	2895	639	631	434
search-mean	5000	2921	350	338	425
insert-sDev	5000	114	20	57	26
search-sDev	5000	128	12	33	11
insert-mean	7500	6892	1021	1000	725
search-mean	7500	6973	610	589	707
insert-sDev	7500	779	29	25	42
search-sDev	7500	1003	16	9	10
insert-mean	10000	11474	1444	1412	1040
search-mean	10000	11495	872	844	1018
insert-sDev	10000	176	18	27	63
search-sDev	10000	134	8	7	13
insert-mean	25000	69190	4124	4048	3199
search-mean	25000	69466	2733	2610	3150
insert-sDev	25000	811	53	96	136
search-sDev	25000	768	35	29	89
insert-mean	50000	236248	9645	9573	7754
search-mean	50000	239135	6632	6056	7591
insert-sDev	50000	15234	585	455	446
search-sDev	50000	15181	556	211	456
